"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 07, 2021","1.429400","1.414900","1.433100","1.414900","145.71M","1.10%"
"Jul 06, 2021","1.413800","1.404500","1.453600","1.404500","185.50M","0.69%"
"Jul 05, 2021","1.404100","1.456500","1.456500","1.393600","210.28M","-3.93%"
"Jul 04, 2021","1.461500","1.436800","1.481900","1.432900","185.33M","2.87%"
"Jul 03, 2021","1.420700","1.396400","1.430700","1.361600","198.14M","1.78%"
"Jul 02, 2021","1.395800","1.331000","1.395800","1.289200","235.42M","4.69%"
"Jul 01, 2021","1.333300","1.383800","1.383800","1.313000","196.84M","-3.66%"
"Jun 30, 2021","1.383900","1.372700","1.383900","1.302000","263.77M","0.85%"
"Jun 29, 2021","1.372300","1.326500","1.408600","1.326500","287.56M","3.58%"
"Jun 28, 2021","1.324900","1.341600","1.341600","1.312200","220.83M","-0.75%"
"Jun 27, 2021","1.334900","1.251700","1.334900","1.249800","242.12M","6.66%"
"Jun 26, 2021","1.251600","1.254800","1.280400","1.207800","307.45M","-0.26%"
"Jun 25, 2021","1.254800","1.363600","1.389200","1.254800","548.26M","-7.53%"
"Jun 24, 2021","1.357000","1.249800","1.389500","1.220500","426.97M","8.52%"
"Jun 23, 2021","1.250500","1.149600","1.277700","1.149600","490.51M","8.22%"
"Jun 22, 2021","1.155500","1.178700","1.243500","1.059400","907.34M","-1.70%"
"Jun 21, 2021","1.175500","1.426600","1.426600","1.175500","512.03M","-17.64%"
"Jun 20, 2021","1.427300","1.383600","1.452300","1.339900","269.34M","2.89%"
"Jun 19, 2021","1.387200","1.416000","1.433600","1.387200","145.45M","-1.79%"
"Jun 18, 2021","1.412500","1.481000","1.485000","1.397100","220.96M","-4.62%"
"Jun 17, 2021","1.480900","1.485100","1.536500","1.466100","165.14M","-0.18%"
"Jun 16, 2021","1.483600","1.554400","1.569600","1.483600","203.49M","-4.70%"
"Jun 15, 2021","1.556800","1.576700","1.591300","1.551500","216.17M","-1.20%"
"Jun 14, 2021","1.575700","1.558200","1.575700","1.524300","280.92M","1.08%"
"Jun 13, 2021","1.558800","1.485200","1.559800","1.419100","330.63M","5.52%"
"Jun 12, 2021","1.477200","1.436700","1.487400","1.379800","363.02M","2.87%"
"Jun 11, 2021","1.436000","1.531800","1.531800","1.430100","323.13M","-6.24%"
"Jun 10, 2021","1.531500","1.629500","1.629500","1.531300","312.52M","-5.70%"
"Jun 09, 2021","1.624100","1.584000","1.624100","1.489900","471.51M","2.65%"
"Jun 08, 2021","1.582200","1.555400","1.582200","1.448000","612.22M","1.09%"
"Jun 07, 2021","1.565100","1.676000","1.739600","1.565100","341.22M","-6.57%"
"Jun 06, 2021","1.675200","1.655000","1.691600","1.655000","192.00M","1.00%"
"Jun 05, 2021","1.658600","1.708900","1.765600","1.652200","369.30M","-2.96%"
"Jun 04, 2021","1.709200","1.846400","1.847600","1.630000","596.60M","-7.33%"
"Jun 03, 2021","1.844300","1.748000","1.848600","1.729800","417.23M","5.20%"
"Jun 02, 2021","1.753100","1.740200","1.790000","1.736600","431.61M","1.05%"
"Jun 01, 2021","1.734900","1.749500","1.755300","1.702700","530.40M","-0.13%"
"May 31, 2021","1.737100","1.564800","1.737100","1.529200","600.11M","10.24%"
