"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 07, 2021","34,842.9","34,177.3","34,970.8","34,177.3","56.24K","1.97%"
"Jul 06, 2021","34,169.2","33,682.7","34,749.9","33,682.7","62.97K","1.43%"
"Jul 05, 2021","33,687.2","35,235.1","35,235.1","33,509.5","64.12K","-4.57%"
"Jul 04, 2021","35,298.7","35,495.4","35,835.7","35,298.7","43.70K","1.60%"
"Jul 03, 2021","34,742.5","33,796.5","34,742.5","33,555.8","42.47K","2.74%"
"Jul 02, 2021","33,815.5","33,496.5","33,815.5","32,767.9","56.13K","0.91%"
"Jul 01, 2021","33,511.9","35,024.4","35,024.4","33,252.8","71.70K","-4.31%"
"Jun 30, 2021","35,021.5","35,882.1","36,054.5","34,206.9","77.20K","-2.26%"
"Jun 29, 2021","35,832.5","34,522.6","36,391.6","34,522.6","90.74K","3.94%"
"Jun 28, 2021","34,474.0","34,657.3","34,886.3","34,133.1","82.24K","-0.56%"
"Jun 27, 2021","34,669.6","32,284.7","34,669.6","32,284.7","96.63K","7.61%"
"Jun 26, 2021","32,216.7","31,568.4","32,260.9","30,404.4","107.69K","1.97%"
"Jun 25, 2021","31,595.5","34,663.1","35,391.9","31,595.5","116.04K","-8.88%"
"Jun 24, 2021","34,673.6","33,615.6","34,925.0","32,482.8","86.64K","2.97%"
"Jun 23, 2021","33,673.6","32,440.0","34,159.0","32,440.0","126.98K","3.67%"
"Jun 22, 2021","32,482.1","31,710.1","32,920.8","29,933.2","204.20K","2.49%"
"Jun 21, 2021","31,694.4","35,589.0","35,589.0","31,694.4","168.77K","-10.96%"
"Jun 20, 2021","35,594.5","35,510.4","35,782.2","34,000.0","89.88K","0.25%"
"Jun 19, 2021","35,505.2","35,757.6","36,154.3","34,996.7","68.72K","-0.68%"
"Jun 18, 2021","35,747.0","38,090.5","38,090.5","35,448.8","95.22K","-6.04%"
"Jun 17, 2021","38,043.2","38,342.2","39,348.8","37,685.0","79.54K","-0.76%"
"Jun 16, 2021","38,333.4","40,143.8","40,285.0","38,333.4","87.77K","-4.54%"
"Jun 15, 2021","40,155.9","40,518.1","40,628.1","39,984.3","80.70K","-0.93%"
"Jun 14, 2021","40,532.3","39,152.0","40,648.0","38,933.5","108.55K","3.86%"
"Jun 13, 2021","39,024.2","35,539.6","39,024.2","34,962.1","86.93K","10.03%"
"Jun 12, 2021","35,467.5","37,334.3","37,334.3","35,240.1","87.73K","-4.93%"
"Jun 11, 2021","37,307.8","36,712.1","37,307.8","36,166.3","78.45K","1.82%"
"Jun 10, 2021","36,641.3","37,405.6","38,026.0","36,432.1","109.53K","-1.96%"
"Jun 09, 2021","37,374.8","33,314.0","37,374.8","32,571.9","136.61K","11.99%"
"Jun 08, 2021","33,372.0","33,504.9","33,577.7","31,610.3","123.26K","-0.60%"
"Jun 07, 2021","33,573.9","35,776.9","36,675.9","33,573.9","77.53K","-6.27%"
"Jun 06, 2021","35,818.9","35,509.0","36,268.9","35,509.0","47.65K","0.86%"
"Jun 05, 2021","35,512.4","36,859.9","37,752.8","35,348.0","70.47K","-3.59%"
"Jun 04, 2021","36,835.1","39,251.4","39,251.4","36,472.6","91.32K","-5.98%"
"Jun 03, 2021","39,177.5","37,553.5","39,177.5","37,341.9","75.89K","4.35%"
"Jun 02, 2021","37,545.0","36,750.0","37,982.0","36,238.5","67.56K","2.33%"
"Jun 01, 2021","36,689.7","37,221.7","37,606.5","36,160.0","81.24K","-1.63%"
"May 31, 2021","37,297.5","35,538.8","37,297.5","34,470.1","94.14K","4.63%"
"May 30, 2021","35,647.8","34,603.2","36,161.4","33,843.3","73.54K","3.11%"
