"Date","Price","Open","High","Low","Vol.","Change %"
"May 30, 2021","2,251.29","2,278.24","2,278.24","2,251.29","1.37M","-1.04%"
"May 29, 2021","2,275.00","2,412.17","2,540.25","2,220.31","1.38M","-5.91%"
"May 28, 2021","2,418.02","2,734.03","2,734.03","2,369.20","1.55M","-11.85%"
"May 27, 2021","2,743.08","2,881.05","2,881.05","2,666.95","1.10M","-4.92%"
"May 26, 2021","2,885.06","2,706.42","2,890.01","2,706.42","1.58M","6.65%"
"May 25, 2021","2,705.20","2,634.59","2,705.20","2,443.79","2.12M","2.19%"
"May 24, 2021","2,647.35","2,098.66","2,647.35","2,098.66","2.19M","25.95%"
"May 23, 2021","2,101.89","2,289.60","2,336.64","1,849.55","2.91M","-8.21%"
"May 22, 2021","2,289.94","2,429.48","2,461.47","2,188.98","1.68M","-5.89%"
"May 21, 2021","2,433.20","2,766.63","2,930.98","2,311.34","2.73M","-12.54%"
"May 20, 2021","2,782.00","2,494.35","2,950.07","2,361.94","2.94M","14.25%"
"May 19, 2021","2,434.95","3,384.62","3,384.62","2,356.40","4.31M","-27.90%"
"May 18, 2021","3,376.96","3,287.15","3,535.51","3,275.60","1.29M","2.96%"
"May 17, 2021","3,280.00","3,578.01","3,578.01","3,188.97","1.90M","-8.44%"
"May 16, 2021","3,582.54","3,651.97","3,870.80","3,367.48","1.32M","-1.58%"
"May 15, 2021","3,639.98","4,071.54","4,096.13","3,639.98","1.04M","-10.67%"
"May 14, 2021","4,074.53","3,717.05","4,105.98","3,717.05","1.15M","9.53%"
"May 13, 2021","3,720.09","3,789.99","4,005.39","3,603.81","2.08M","-1.97%"
"May 12, 2021","3,794.89","4,171.18","4,354.89","3,794.89","1.60M","-9.07%"
"May 11, 2021","4,173.45","3,934.81","4,173.45","3,833.23","1.10M","5.66%"
"May 10, 2021","3,949.89","3,925.86","4,174.40","3,859.30","1.51M","0.70%"
"May 09, 2021","3,922.42","3,910.18","3,975.00","3,789.05","1.00M","0.45%"
"May 08, 2021","3,905.00","3,479.99","3,905.00","3,479.99","1.13M","12.13%"
"May 07, 2021","3,482.42","3,495.72","3,549.98","3,381.43","759.88K","-0.21%"
"May 06, 2021","3,489.72","3,526.94","3,529.04","3,446.65","920.60K","-0.92%"
"May 05, 2021","3,522.28","3,316.12","3,522.28","3,281.64","1.18M","6.54%"
"May 04, 2021","3,306.10","3,441.28","3,472.84","3,228.04","1.87M","-3.59%"
"May 03, 2021","3,429.22","2,952.39","3,429.22","2,952.39","1.33M","16.22%"
"May 02, 2021","2,950.65","2,945.78","2,967.74","2,877.11","571.95K","0.21%"
"May 01, 2021","2,944.45","2,772.08","2,947.17","2,755.70","690.27K","6.20%"
"Apr 30, 2021","2,772.56","2,757.61","2,779.94","2,735.42","695.28K","0.56%"
"Apr 29, 2021","2,757.06","2,749.64","2,768.01","2,705.01","863.89K","0.41%"
"Apr 28, 2021","2,745.83","2,669.96","2,745.83","2,609.12","999.22K","3.03%"
"Apr 27, 2021","2,665.04","2,533.23","2,665.04","2,498.86","771.68K","5.21%"
"Apr 26, 2021","2,533.00","2,320.52","2,533.00","2,320.52","1.08M","9.37%"
"Apr 25, 2021","2,315.98","2,219.13","2,343.99","2,212.78","857.16K","4.45%"
"Apr 24, 2021","2,217.30","2,366.00","2,366.00","2,192.41","997.65K","-6.33%"
"Apr 23, 2021","2,367.19","2,399.15","2,399.15","2,165.99","2.53M","-1.30%"
"Apr 22, 2021","2,398.49","2,359.28","2,605.71","2,359.28","2.22M","1.52%"
"Apr 21, 2021","2,362.57","2,338.64","2,457.43","2,273.01","1.18M","1.26%"
"Apr 20, 2021","2,333.26","2,169.54","2,333.38","2,104.53","992.07K","7.99%"
"Apr 19, 2021","2,160.56","2,236.00","2,267.94","2,102.76","820.53K","-3.42%"
"Apr 18, 2021","2,237.12","2,320.31","2,320.31","2,007.27","1.48M","-3.57%"
"Apr 17, 2021","2,319.96","2,429.00","2,487.93","2,319.96","624.20K","-4.26%"
"Apr 16, 2021","2,423.10","2,515.86","2,515.86","2,376.53","999.20K","-3.66%"
"Apr 15, 2021","2,515.26","2,439.22","2,515.26","2,416.88","682.01K","3.46%"
"Apr 14, 2021","2,431.24","2,305.83","2,435.99","2,285.58","973.05K","5.71%"
"Apr 13, 2021","2,299.81","2,138.04","2,302.20","2,138.04","782.58K","7.56%"
"Apr 12, 2021","2,138.25","2,155.65","2,183.73","2,125.67","579.02K","-0.59%"
"Apr 11, 2021","2,151.03","2,134.00","2,151.03","2,117.08","392.33K","0.80%"
"Apr 10, 2021","2,134.00","2,066.46","2,169.29","2,062.55","655.30K","3.23%"
"Apr 09, 2021","2,067.31","2,080.95","2,084.31","2,061.58","426.43K","-0.62%"
"Apr 08, 2021","2,080.18","1,967.40","2,080.18","1,967.40","502.51K","6.06%"
"Apr 07, 2021","1,961.39","2,112.56","2,112.56","1,950.91","892.89K","-7.12%"
"Apr 06, 2021","2,111.83","2,110.00","2,130.03","2,077.81","673.61K","0.35%"
"Apr 05, 2021","2,104.50","2,078.86","2,112.01","2,015.28","684.65K","1.36%"
"Apr 04, 2021","2,076.25","2,001.62","2,082.16","1,992.56","514.84K","3.35%"
"Apr 03, 2021","2,008.87","2,135.80","2,135.80","2,008.87","769.99K","-5.85%"
