"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 07, 2021","2,382.81","2,319.21","2,391.42","2,319.21","732.75K","3.12%"
"Jul 06, 2021","2,310.66","2,197.26","2,336.23","2,197.26","860.18K","5.12%"
"Jul 05, 2021","2,198.16","2,319.79","2,319.79","2,198.16","781.81K","-5.38%"
"Jul 04, 2021","2,323.17","2,326.61","2,381.34","2,313.54","590.59K","4.39%"
"Jul 03, 2021","2,225.57","2,155.96","2,234.36","2,132.00","572.24K","3.26%"
"Jul 02, 2021","2,155.28","2,105.02","2,155.28","2,021.67","671.97K","2.24%"
"Jul 01, 2021","2,108.01","2,274.62","2,274.62","2,108.00","787.85K","-7.29%"
"Jun 30, 2021","2,273.84","2,165.72","2,275.07","2,111.35","910.76K","5.35%"
"Jun 29, 2021","2,158.32","2,087.33","2,231.34","2,087.33","831.07K","3.62%"
"Jun 28, 2021","2,082.95","1,981.35","2,125.59","1,970.12","1.04M","5.21%"
"Jun 27, 2021","1,979.73","1,828.47","1,979.73","1,821.36","696.08K","8.15%"
"Jun 26, 2021","1,830.49","1,809.82","1,832.75","1,732.47","831.73K","1.10%"
"Jun 25, 2021","1,810.65","1,989.74","2,011.06","1,805.72","858.64K","-8.95%"
"Jun 24, 2021","1,988.69","1,963.45","2,027.53","1,904.21","701.37K","1.00%"
"Jun 23, 2021","1,968.92","1,872.80","2,023.67","1,872.80","918.72K","4.98%"
"Jun 22, 2021","1,875.60","1,895.95","1,969.92","1,795.54","1.70M","-0.86%"
"Jun 21, 2021","1,891.79","2,255.00","2,255.00","1,885.11","1.63M","-15.69%"
"Jun 20, 2021","2,243.93","2,166.56","2,257.40","2,087.99","743.95K","3.56%"
"Jun 19, 2021","2,166.82","2,230.83","2,251.01","2,166.82","496.91K","-2.81%"
"Jun 18, 2021","2,229.53","2,372.92","2,372.92","2,178.76","778.79K","-5.96%"
"Jun 17, 2021","2,370.74","2,368.82","2,442.05","2,332.71","560.89K","0.16%"
"Jun 16, 2021","2,367.01","2,542.67","2,542.67","2,367.01","624.69K","-6.98%"
"Jun 15, 2021","2,544.50","2,581.21","2,615.00","2,535.35","599.68K","-1.48%"
"Jun 14, 2021","2,582.66","2,514.94","2,582.66","2,490.31","684.72K","2.96%"
"Jun 13, 2021","2,508.47","2,371.90","2,523.75","2,332.66","716.02K","6.01%"
"Jun 12, 2021","2,366.32","2,354.49","2,438.42","2,278.65","767.30K","0.63%"
"Jun 11, 2021","2,351.45","2,470.60","2,473.60","2,345.81","587.18K","-4.78%"
"Jun 10, 2021","2,469.52","2,606.85","2,606.85","2,461.19","741.29K","-5.36%"
"Jun 09, 2021","2,609.32","2,501.44","2,609.32","2,434.96","1.28M","4.03%"
"Jun 08, 2021","2,508.22","2,579.40","2,582.08","2,381.74","1.69M","-3.22%"
"Jun 07, 2021","2,591.78","2,711.17","2,826.43","2,591.78","1.15M","-4.50%"
"Jun 06, 2021","2,713.91","2,626.73","2,734.95","2,626.73","673.70K","3.23%"
"Jun 05, 2021","2,629.00","2,698.08","2,797.02","2,596.16","961.80K","-2.19%"
"Jun 04, 2021","2,687.89","2,857.44","2,857.44","2,604.21","1.19M","-5.80%"
"Jun 03, 2021","2,853.36","2,704.96","2,856.35","2,689.07","1.02M","5.50%"
"Jun 02, 2021","2,704.73","2,639.40","2,770.02","2,578.60","970.35K","2.70%"
"Jun 01, 2021","2,633.59","2,699.88","2,735.07","2,560.01","1.18M","-2.82%"
"May 31, 2021","2,710.07","2,374.52","2,710.07","2,292.67","1.31M","13.54%"
