"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 07, 2021","20.90","20.04","20.96","20.04","8.45M","6.69%"
"Jul 06, 2021","19.58","18.39","19.83","18.39","6.85M","6.70%"
"Jul 05, 2021","18.36","19.23","19.23","18.07","5.30M","-4.69%"
"Jul 04, 2021","19.26","18.95","19.74","18.91","4.71M","2.90%"
"Jul 03, 2021","18.72","18.30","18.72","17.93","3.60M","2.42%"
"Jul 02, 2021","18.28","18.19","18.28","17.43","5.45M","0.38%"
"Jul 01, 2021","18.21","19.49","19.49","17.87","6.08M","-6.62%"
"Jun 30, 2021","19.50","19.51","19.76","18.41","7.41M","0.26%"
"Jun 29, 2021","19.45","18.82","20.45","18.82","7.92M","3.47%"
"Jun 28, 2021","18.79","18.39","19.19","18.04","7.74M","2.33%"
"Jun 27, 2021","18.37","16.97","18.37","16.77","6.67M","8.37%"
"Jun 26, 2021","16.95","16.93","17.31","16.17","8.40M","0.37%"
"Jun 25, 2021","16.89","19.16","19.35","16.89","10.06M","-11.37%"
"Jun 24, 2021","19.05","18.40","19.39","17.50","6.92M","3.76%"
"Jun 23, 2021","18.36","16.83","18.94","16.83","10.97M","9.32%"
"Jun 22, 2021","16.80","17.38","18.37","15.90","19.82M","-3.90%"
"Jun 21, 2021","17.48","21.67","21.67","17.44","16.33M","-19.29%"
"Jun 20, 2021","21.65","20.26","21.69","19.66","6.75M","6.62%"
"Jun 19, 2021","20.31","21.22","21.60","20.31","5.05M","-4.04%"
"Jun 18, 2021","21.17","23.37","23.37","20.90","6.99M","-9.37%"
"Jun 17, 2021","23.35","23.01","24.30","22.98","5.25M","1.33%"
"Jun 16, 2021","23.05","24.45","24.56","23.05","7.51M","-5.94%"
"Jun 15, 2021","24.50","24.98","26.01","24.50","7.59M","-1.83%"
"Jun 14, 2021","24.96","23.36","24.96","23.16","8.60M","7.02%"
"Jun 13, 2021","23.32","21.69","23.44","20.83","8.52M","7.62%"
"Jun 12, 2021","21.67","21.45","22.08","20.31","8.87M","0.88%"
"Jun 11, 2021","21.48","23.12","23.14","21.14","7.71M","-7.04%"
"Jun 10, 2021","23.11","25.60","25.60","23.11","8.53M","-9.63%"
"Jun 09, 2021","25.57","24.08","25.57","22.82","10.77M","6.07%"
"Jun 08, 2021","24.11","24.59","24.59","22.30","12.54M","-1.91%"
"Jun 07, 2021","24.58","27.52","28.47","24.58","7.60M","-10.71%"
"Jun 06, 2021","27.53","27.09","27.95","27.07","4.10M","1.50%"
"Jun 05, 2021","27.12","28.92","29.61","26.95","8.07M","-6.00%"
"Jun 04, 2021","28.85","32.22","32.22","27.75","11.82M","-10.32%"
"Jun 03, 2021","32.17","30.58","32.36","30.38","7.15M","4.93%"
"Jun 02, 2021","30.66","30.78","31.42","30.26","6.69M","-0.17%"
"Jun 01, 2021","30.71","32.03","32.41","29.84","8.56M","-4.25%"
"May 31, 2021","32.08","26.77","32.08","25.70","11.51M","19.44%"
